epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,544.154,0.5375,0.63921,0.46658,0.8877,0,0.92082,0.87288,0.93091,0.79832,0.85584,0.93873,0.92858,0.7336,0.49979,0.67575,0.48369,0.86928,0,0.001019,0.001019,0.001019
30,562.484,0.52402,0.64223,0.44885,0.8845,0,0.86792,0.90709,0.93553,0.7975,0.87954,0.9167,0.93443,0.73624,0.50597,0.65078,0.50023,0.87548,0,0.00101075,0.00101075,0.00101075
31,580.621,0.4972,0.616,0.44003,0.88001,0,0.91898,0.8694,0.92726,0.79011,0.91898,0.8694,0.92181,0.7311,0.47067,0.69662,0.49056,0.86899,0,0.0010025,0.0010025,0.0010025
32,598.823,0.49093,0.61231,0.43072,0.87969,0,0.96157,0.87086,0.93822,0.79931,0.94223,0.87693,0.93837,0.75574,0.50132,0.68577,0.47377,0.88138,0,0.00099425,0.00099425,0.00099425
33,617.39,0.49956,0.63709,0.43087,0.87906,0,0.92804,0.90332,0.94307,0.81536,0.92817,0.90314,0.94669,0.74977,0.47283,0.67556,0.43965,0.87047,0,0.000986,0.000986,0.000986
34,645.742,0.50429,0.64272,0.43546,0.88491,0,0.93671,0.87115,0.9397,0.82351,0.94223,0.87583,0.94148,0.74982,0.46864,0.64615,0.44564,0.85937,0,0.00097775,0.00097775,0.00097775
35,668.946,0.50819,0.62659,0.43818,0.88428,0,0.94064,0.87447,0.93976,0.81458,0.94064,0.87447,0.93865,0.74308,0.45162,0.66385,0.43803,0.85925,0,0.0009695,0.0009695,0.0009695
36,687.962,0.49092,0.62969,0.42712,0.86533,0,0.91213,0.90321,0.9362,0.82655,0.91213,0.90321,0.93631,0.75369,0.46588,0.66053,0.44839,0.86047,0,0.00096125,0.00096125,0.00096125
37,706.601,0.49574,0.60676,0.42879,0.88363,0,0.92963,0.9,0.94742,0.82422,0.94381,0.89145,0.94626,0.76949,0.45612,0.63468,0.4375,0.86217,0,0.000953,0.000953,0.000953
38,725.509,0.46426,0.59561,0.41346,0.87,0,0.91195,0.88284,0.92181,0.80688,0.91563,0.8865,0.92615,0.74519,0.4519,0.68428,0.45468,0.85776,0,0.00094475,0.00094475,0.00094475
39,743.933,0.49323,0.64038,0.4316,0.88034,0,0.90072,0.88239,0.92597,0.79666,0.90433,0.87977,0.92401,0.7255,0.46582,0.71952,0.46339,0.86811,0,0.0009365,0.0009365,0.0009365
