epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
118,2232.67,0.37175,0.49351,0.31667,0.85102,0,0.93879,0.9015,0.93959,0.83428,0.9257,0.90983,0.9349,0.76663,0.38224,0.58118,0.36126,0.85145,0,0.00028475,0.00028475,0.00028475
119,2251.19,0.37485,0.4742,0.31638,0.83721,0,0.93228,0.91389,0.9409,0.83848,0.93148,0.91314,0.94156,0.76894,0.38157,0.58851,0.36415,0.84095,0,0.0002765,0.0002765,0.0002765
120,2269.84,0.38128,0.47298,0.31683,0.84103,0,0.93559,0.91393,0.94057,0.84225,0.9348,0.9145,0.94287,0.77217,0.38095,0.56764,0.3699,0.84097,0,0.00026825,0.00026825,0.00026825
121,2288.36,0.37194,0.48489,0.31203,0.84268,0,0.92911,0.92287,0.94609,0.84548,0.92377,0.91766,0.94288,0.76968,0.37406,0.56028,0.36597,0.84112,0,0.00026,0.00026,0.00026
122,2307.12,0.3619,0.44994,0.30676,0.83502,0,0.92747,0.91434,0.94403,0.8452,0.92214,0.90913,0.94199,0.77678,0.36851,0.5614,0.36739,0.83788,0,0.00025175,0.00025175,0.00025175
123,2327.98,0.36275,0.47762,0.30815,0.83562,0,0.94132,0.9111,0.94171,0.84406,0.93602,0.9059,0.93879,0.77334,0.36858,0.57134,0.37328,0.83752,0,0.0002435,0.0002435,0.0002435
124,2350.7,0.36874,0.48599,0.31057,0.84857,0,0.93292,0.90308,0.93732,0.83802,0.93292,0.90308,0.93288,0.76952,0.36906,0.55492,0.3776,0.8421,0,0.00023525,0.00023525,0.00023525
125,2371.27,0.37135,0.49753,0.3129,0.84522,0,0.94851,0.88611,0.93493,0.83542,0.94606,0.88517,0.9315,0.76188,0.37048,0.5892,0.3793,0.84266,0,0.000227,0.000227,0.000227
126,2390.45,0.36351,0.48227,0.30891,0.84216,0,0.94547,0.88734,0.93607,0.84001,0.94532,0.88227,0.93332,0.77375,0.37137,0.57048,0.37454,0.84442,0,0.00021875,0.00021875,0.00021875
127,2410.97,0.37095,0.47909,0.30646,0.84417,0,0.94361,0.89414,0.93521,0.83742,0.93818,0.88903,0.92675,0.77009,0.36925,0.56612,0.3684,0.84308,0,0.0002105,0.0002105,0.0002105
128,2429.9,0.35823,0.47292,0.30347,0.83729,0,0.94307,0.89979,0.93786,0.83372,0.94307,0.89979,0.92828,0.76426,0.37017,0.55096,0.36575,0.84314,0,0.00020225,0.00020225,0.00020225
129,2449.98,0.36668,0.48546,0.30859,0.84142,0,0.9444,0.89858,0.93528,0.8363,0.93909,0.89337,0.92775,0.76399,0.36632,0.56745,0.35661,0.84406,0,0.000194,0.000194,0.000194
130,2469.32,0.36197,0.45767,0.30647,0.83981,0,0.94412,0.90588,0.93615,0.84045,0.93872,0.90091,0.92918,0.76172,0.36247,0.566,0.35872,0.8407,0,0.00018575,0.00018575,0.00018575
131,2488.19,0.36146,0.45223,0.3063,0.83877,0,0.94054,0.90909,0.93294,0.83909,0.9464,0.91464,0.93634,0.76715,0.36415,0.55448,0.3676,0.84218,0,0.0001775,0.0001775,0.0001775
132,2507.16,0.34761,0.45958,0.29165,0.83574,0,0.93885,0.91319,0.94,0.83576,0.93342,0.90799,0.93144,0.76627,0.36494,0.55587,0.36224,0.84601,0,0.00016925,0.00016925,0.00016925
133,2529.16,0.35642,0.47343,0.29955,0.84188,0,0.951,0.89075,0.93805,0.83541,0.94531,0.88559,0.93131,0.77098,0.3641,0.54872,0.35795,0.84666,0,0.000161,0.000161,0.000161
134,2549.71,0.36283,0.47546,0.30049,0.83485,0,0.94776,0.90191,0.9384,0.83219,0.94549,0.89214,0.92812,0.76563,0.3637,0.55191,0.3567,0.84553,0,0.00015275,0.00015275,0.00015275
135,2568.81,0.35703,0.46773,0.29991,0.84129,0,0.9395,0.91832,0.94004,0.83717,0.95278,0.89813,0.93425,0.76972,0.36514,0.55003,0.36056,0.84315,0,0.0001445,0.0001445,0.0001445
136,2588.07,0.35869,0.4824,0.29758,0.84135,0,0.94993,0.89809,0.93429,0.83713,0.95622,0.90339,0.9334,0.76746,0.36656,0.55517,0.35544,0.84639,0,0.00013625,0.00013625,0.00013625
137,2606.86,0.35749,0.45343,0.29831,0.83936,0,0.92897,0.91263,0.93466,0.84079,0.92897,0.91263,0.93129,0.77001,0.36045,0.55698,0.3539,0.8415,0,0.000128,0.000128,0.000128
138,2625.71,0.34912,0.48959,0.29958,0.84222,0,0.94745,0.90834,0.93559,0.8429,0.94745,0.90834,0.93412,0.77111,0.36353,0.56695,0.3511,0.83989,0,0.00011975,0.00011975,0.00011975
139,2645.96,0.35599,0.48652,0.30306,0.838,0,0.95291,0.91252,0.943,0.84475,0.94761,0.90731,0.93711,0.77149,0.36342,0.56598,0.34798,0.84107,0,0.0001115,0.0001115,0.0001115
140,2665.38,0.36012,0.48733,0.29998,0.84165,0,0.9536,0.90731,0.94306,0.84252,0.95444,0.90766,0.93952,0.76736,0.36079,0.57127,0.34396,0.84071,0,0.00010325,0.00010325,0.00010325
141,2726.96,0.31559,0.41552,0.28714,0.82357,0,0.95147,0.9027,0.93447,0.83942,0.95766,0.90823,0.93892,0.75968,0.35672,0.59623,0.34239,0.84214,0,9.5e-05,9.5e-05,9.5e-05
142,2744.67,0.309,0.3933,0.27057,0.81702,0,0.94577,0.89438,0.93492,0.83923,0.94643,0.89472,0.93544,0.75861,0.36107,0.61167,0.34988,0.84072,0,8.675e-05,8.675e-05,8.675e-05
143,2762.46,0.32048,0.40903,0.27943,0.81897,0,0.94095,0.89532,0.936,0.83987,0.93553,0.89012,0.93382,0.76092,0.36153,0.62409,0.3501,0.83957,0,7.85e-05,7.85e-05,7.85e-05
144,2780.12,0.31006,0.40197,0.27444,0.824,0,0.9272,0.90908,0.93726,0.84018,0.9272,0.90908,0.94013,0.76758,0.36205,0.61976,0.34537,0.83895,0,7.025e-05,7.025e-05,7.025e-05
145,2797.81,0.29482,0.38206,0.2661,0.81687,0,0.93994,0.90594,0.93883,0.8459,0.93994,0.90594,0.93843,0.7679,0.35814,0.62075,0.34148,0.83877,0,6.2e-05,6.2e-05,6.2e-05
146,2815.54,0.31146,0.3928,0.27503,0.81882,0,0.94084,0.90526,0.93884,0.84539,0.94084,0.90526,0.93746,0.76806,0.35725,0.61763,0.34283,0.83761,0,5.375e-05,5.375e-05,5.375e-05
147,2833.28,0.2938,0.38368,0.26365,0.81213,0,0.9418,0.90365,0.937,0.84862,0.9418,0.90365,0.93697,0.77068,0.357,0.60145,0.34436,0.83707,0,4.55e-05,4.55e-05,4.55e-05
148,2850.98,0.29635,0.39359,0.26018,0.81771,0,0.93506,0.90566,0.93532,0.84833,0.93506,0.90566,0.93542,0.77023,0.35975,0.59352,0.34829,0.83853,0,3.725e-05,3.725e-05,3.725e-05
149,2868.59,0.3029,0.37791,0.26688,0.82167,0,0.9276,0.91238,0.93443,0.84729,0.92682,0.91161,0.93328,0.76877,0.35735,0.59137,0.34658,0.83772,0,2.9e-05,2.9e-05,2.9e-05
150,2886.33,0.29687,0.39054,0.2624,0.82312,0,0.93468,0.91161,0.93516,0.84854,0.9339,0.91083,0.93384,0.7681,0.35437,0.59595,0.34484,0.83692,0,2.075e-05,2.075e-05,2.075e-05
